Position,Name,pct_pos,rank,date,event,event_type,event_name
1,Rogelio Espinoza,0.03571428571428571,4.0,"December 18, 2024",24-12-000334,League Challenge,LIGA POKEMON GAMESMART LEAGUE CHALLENGE DICIEMBRE 2024
2,Raúl Merino,0.07142857142857142,7.0,"December 18, 2024",24-12-000334,League Challenge,LIGA POKEMON GAMESMART LEAGUE CHALLENGE DICIEMBRE 2024
3,Jorge Roberto Chiñas López,0.10714285714285714,11.0,"December 18, 2024",24-12-000334,League Challenge,LIGA POKEMON GAMESMART LEAGUE CHALLENGE DICIEMBRE 2024
4,DAustria,0.14285714285714285,14.0,"December 18, 2024",24-12-000334,League Challenge,LIGA POKEMON GAMESMART LEAGUE CHALLENGE DICIEMBRE 2024
5,Miguel S,0.17857142857142858,18.0,"December 18, 2024",24-12-000334,League Challenge,LIGA POKEMON GAMESMART LEAGUE CHALLENGE DICIEMBRE 2024
6,Erik Ortega,0.21428571428571427,21.0,"December 18, 2024",24-12-000334,League Challenge,LIGA POKEMON GAMESMART LEAGUE CHALLENGE DICIEMBRE 2024
7,iRicardito,0.25,25.0,"December 18, 2024",24-12-000334,League Challenge,LIGA POKEMON GAMESMART LEAGUE CHALLENGE DICIEMBRE 2024
8,Andres G,0.2857142857142857,29.0,"December 18, 2024",24-12-000334,League Challenge,LIGA POKEMON GAMESMART LEAGUE CHALLENGE DICIEMBRE 2024
9,joaquin gonzalez,0.32142857142857145,32.0,"December 18, 2024",24-12-000334,League Challenge,LIGA POKEMON GAMESMART LEAGUE CHALLENGE DICIEMBRE 2024
10,KingKobbu,0.35714285714285715,36.0,"December 18, 2024",24-12-000334,League Challenge,LIGA POKEMON GAMESMART LEAGUE CHALLENGE DICIEMBRE 2024
11,Emiliano Huang,0.39285714285714285,39.0,"December 18, 2024",24-12-000334,League Challenge,LIGA POKEMON GAMESMART LEAGUE CHALLENGE DICIEMBRE 2024
12,Daiki Tokuhara,0.42857142857142855,43.0,"December 18, 2024",24-12-000334,League Challenge,LIGA POKEMON GAMESMART LEAGUE CHALLENGE DICIEMBRE 2024
13,Manuel Bruno,0.4642857142857143,46.0,"December 18, 2024",24-12-000334,League Challenge,LIGA POKEMON GAMESMART LEAGUE CHALLENGE DICIEMBRE 2024
14,Néstor Iván Monroy,0.5,50.0,"December 18, 2024",24-12-000334,League Challenge,LIGA POKEMON GAMESMART LEAGUE CHALLENGE DICIEMBRE 2024
15,Emilia Rahman,0.5357142857142857,54.0,"December 18, 2024",24-12-000334,League Challenge,LIGA POKEMON GAMESMART LEAGUE CHALLENGE DICIEMBRE 2024
16,Edgar Rodriguez,0.5714285714285714,57.0,"December 18, 2024",24-12-000334,League Challenge,LIGA POKEMON GAMESMART LEAGUE CHALLENGE DICIEMBRE 2024
17,Lizbeth Pichardo,0.6071428571428571,61.0,"December 18, 2024",24-12-000334,League Challenge,LIGA POKEMON GAMESMART LEAGUE CHALLENGE DICIEMBRE 2024
18,CHRISTIAN CRUZ,0.6428571428571429,64.0,"December 18, 2024",24-12-000334,League Challenge,LIGA POKEMON GAMESMART LEAGUE CHALLENGE DICIEMBRE 2024
19,Arturo Ortega,0.6785714285714286,68.0,"December 18, 2024",24-12-000334,League Challenge,LIGA POKEMON GAMESMART LEAGUE CHALLENGE DICIEMBRE 2024
20,Paindro,0.7142857142857143,71.0,"December 18, 2024",24-12-000334,League Challenge,LIGA POKEMON GAMESMART LEAGUE CHALLENGE DICIEMBRE 2024
21,Oscar Fernando Castro Rodríguez,0.75,75.0,"December 18, 2024",24-12-000334,League Challenge,LIGA POKEMON GAMESMART LEAGUE CHALLENGE DICIEMBRE 2024
22,CRACKGERTO,0.7857142857142857,79.0,"December 18, 2024",24-12-000334,League Challenge,LIGA POKEMON GAMESMART LEAGUE CHALLENGE DICIEMBRE 2024
23,Gabriel Magallanes,0.8214285714285714,82.0,"December 18, 2024",24-12-000334,League Challenge,LIGA POKEMON GAMESMART LEAGUE CHALLENGE DICIEMBRE 2024
24,PoisonW5,0.8571428571428571,86.0,"December 18, 2024",24-12-000334,League Challenge,LIGA POKEMON GAMESMART LEAGUE CHALLENGE DICIEMBRE 2024
25,Ignacio Espinosa,0.8928571428571429,89.0,"December 18, 2024",24-12-000334,League Challenge,LIGA POKEMON GAMESMART LEAGUE CHALLENGE DICIEMBRE 2024
26,Miguel Pino,0.9285714285714286,93.0,"December 18, 2024",24-12-000334,League Challenge,LIGA POKEMON GAMESMART LEAGUE CHALLENGE DICIEMBRE 2024
27,Alberto Bonsanto,0.9642857142857143,96.0,"December 18, 2024",24-12-000334,League Challenge,LIGA POKEMON GAMESMART LEAGUE CHALLENGE DICIEMBRE 2024
28,Samuel N,1.0,100.0,"December 18, 2024",24-12-000334,League Challenge,LIGA POKEMON GAMESMART LEAGUE CHALLENGE DICIEMBRE 2024
